name,speech,month
Jay Inslee,"I marched with the SEIU folks. It is not right that the CEO of McDonald’s makes 2,100 times more than the people slinging hash at McDonald’s. And the next thing I’ll do is put people to work in the jobs of the present and the future. Donald Trump is simply wrong. He says wind turbines cause cancer, we know they cause jobs, and we know that we can put millions of people to work in the clean energy jobs of the future, carpenters, IBWs members, machinists.",June
Jay Inslee,"We’re doing it in my state today, and then we can do what America always does, lead the world and invent the future and put people to work. That’s what we’re going to do in all the states.",June
Jose,"Congressman Ryan, president Trump… and you just referred to him, promised that manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?",June
Tim Ryan,"Yes, I believe you can. But first, let’s say that president came he said, “Don’t sell your house to people in Youngstown, Ohio,” and in his administration, just in the last two years, we lost 4,000 jobs at a General Motors facility, that rippled throughout our community. General Motors got a tax cut. General Motors got a bail out. And then they have the audacity to move a new car that they’re going to produce to Mexico.",June
Tim Ryan,"I’ve had family members that have had to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America. The bottom 60% haven’t seen a raise since 1980, meanwhile, the top 1% controlled 90% of the wealth. We need an industrial policy saying, “We’re going to dominate building electric vehicles. There’s going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry, and manufacturer those here in the United States.”",June
Jose,"Thank you. Senator Warren, are they coming back? Are these jobs coming back?",June
Elizabeth W.,"We’ve had an industrial policy in the United States for decades now, and it’s basically been letting giant corporations do whatever they want to do. Giant corporations have exactly one loyalty and that is to profit, and if they can save a nickel by moving a job to Mexico or to Asia or to Canada, they’re going to do it. So here’s what I propose for an industrial policy. Start with a place where there’s a real need. There’s going to be a worldwide need for green technology, ways to clean up the air, ways to clean up the water, and we can be the ones to provide that.",June
Elizabeth W.,"We need to go 10 fold in our research and development on green energy going forward, and then we need to say any corporation can come and use that research, they can make all kinds of products from it, but they have to be manufactured right here in the United States of America. And then we have to double down and sell it around the world.",June
Elizabeth W.,"There’s a $23 trillion market coming for green products, we should be the leaders and the owners and we should have that 1.2 million manufacturing jobs here in America. We can do this.",June
Lester Holt,"Thank you. All right, we’re going to turn to the issue of healthcare right now, and really try to understand where there may or may not be daylight between you. Many people watching at home have health insurance coverage through their employer. Who here would abolish their private health insurance in favor of a government run plan? Just a show of hands, to start off with.",June
Lester Holt,"All right. Well, Senator Klobuchar, let me put the question to you. You’re one of the Democrats who wants to keep private insurance in addition to a government healthcare plan. Why is an incremental approach in your view better than sweeping overhaul?",June
Amy Klobuchar,"I think it’s a bold approach. It’s something that Barack Obama wanted to do when we were working on the Affordable Care Act, and that is a public option. I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says. So let me go on beyond that. There’s a much bigger issue in addition to that, and that is pharmaceuticals.",June
Amy Klobuchar,"The president literally went on TV on Fox and said that, people’s heads would spin when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double digits since he came into office. Instead, he gave $100 billion in giveaways to the Pharma companies. For the rest of us, for the rest of America, that’s what we call at home, all foam and no beer. We got nothing out of it. And so my proposal is to do something about Pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. Pharma thinks they own Washington, well they don’t own me.",June
Lester Holt,"Your time is up, thank you. Senator Warren, you signed onto Bernie Sanders’ Medicare-for-all plan, and it would put essentially everybody on Medicare and then eliminate private plans that offers similar coverage. Is that the plan or path that you would pursue as president?",June
Elizabeth W.,"Yes, I’m with Bernie on Medicare-for-all, and let me tell you why. I’ve spend a big chunk of my life studying why families go broke, and one of the number one reasons is the cost of healthcare, medical bills. And that’s not just for people who don’t have insurance, it’s for people who have insurance. Look at the business model of an insurance company. It’s to bring in as many dollars as they can in premiums and pay out as few dollars as possible for your healthcare. That leaves families with rising premiums, rising copays, and fighting with insurance companies to try to get the healthcare that their doctors say that they and their children need.",June
Elizabeth W.,"Medicare-for-all solves that problem. I understand there are a lot of politicians who say, “Oh, it’s just not possible. We just can’t do it. It’s… ” Have a lot of political reasons for this, what they’re really telling you is they just won’t fight for it. Well, healthcare is a basic human right and I will fight for basic human right .",June
Lester Holt,"Congressman O’Rourke, when you ran for Senate, you also praised the bill that would replace private insurance. This year you’re saying you’re no longer sure. Can you explain why?",June
Beto O’Rourke,"My goal is to ensure that every American is well enough to live to their full potential because they have health care. In Laredo, Texas, I met a young man 27 years old, told me that he’d been to a doctor once in his life and on that visit he was told he had Diabetes, he was told he had Glaucoma, and he was told untreated because he doesn’t have health care, he’ll be dead before the age of 40.",June
Beto O’Rourke,"So getting to guaranteed, high quality universal health care as quickly and surely as possible, has to be our goal. The ability to afford your prescriptions and go to a primary care provider. The ability to see a mental health care provider. In Texas, the single largest provider of mental healthcare services is the county jail system, today.",June
Beto O’Rourke,"Health care also has to mean that every woman can make her own decisions about her own body and has access to the care that makes that possible. Our plan says, if you’re uninsured, we enroll you in medicare. If you’re insufficiently insured, you can’t afford your premiums, we enroll you in medicare. But if you’re a member of a union that negotiated for a healthcare plan that you like because it works for you and your family, you’re able to keep it. We preserve choice by making sure everybody has health care.",June
Lester Holt,Your time is up congressman. But I do want to ask a follow-up on this just to be very clear. I’ll give you 10 seconds. Would you replace private insurance?,June
Beto O’Rourke,No. I think the choice is fundamental to our ability to get everybody cared for.,June
Bill De Blasio,"Hey, wait, wait. . Private insurance is not working for tens of millions of Americans. When you talk about the copays, the deductibles, the premiums, the out of pocket expenses, it’s not working. How can you defend the system that’s not working?",June
Beto O’Rourke,"That’s right, so for those who’s not working they can choose medicare. For the  –",June
Bill De Blasio,You got to start by acknowledging the system is not working for people.,June
Beto O’Rourke,They’re able to keep them.,June
Bill De Blasio,Why are you defending private insurance  –,June
John Delaney,"100 million Americans say they like their private health insurance, by the way. It should be noted that 100 million Americans… I think we should be the party that keeps what’s working and fixes what’s broken. Doesn’t that make sense? We should give everyone in this country, healthcare is a basic human right for free. But we should also give them the option to buy private insurance. Why do we have to stand for taking away something from people and also it’s bad policy if you go to every hospital in this country and you asked them one question which is, how would it have been for you last year if every one of your bills were paid at the medicare rate? Every single hospital administrator said they would close.",June
John Delaney,"The Medicare-for-all bill requires payments to stay at current medicare rates. So to some extent we’re basically supporting a bill that will have every hospital closed. My dad was a union electrician, I actually grew up in a working class family. He loved the health care that the IBW gave him. I just always think about my dad at anything I would do, from a policy perspective. He’d look at me and he’d say, “Good job John, for getting healthcare for every American. But why are you taking my health care away?”",June
Lester Holt,"I’ve let this play a little bit because I’m fascinated to hear the daylight between you. Congresswoman Gabbard, will you weigh in here?",June
Tulsi Gabbard,"Yes. I think we’re talking about this in the wrong way. You’re talking about one bill over another bill. Really what we’re talking about is our objective. Making sure that every single sick American in this country is able to get the healthcare that they need. I believe Medicare-for-all is the way to do that. I also think that employers will recognize how much money will be saved by supporting a Medicare-for-all program. A program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality healthcare that they need.",June
Tulsi Gabbard,"I also think if you look at other countries in the world who have universal healthcare, every one of them has form of a role of private insurance. I think that’s what we’ve got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need regardless of how much or little money they have in their pocket.",June
Lester Holt,"Congresswoman, thanks. Let me turn to Senator Booker on this. Senator Booker, explain to me where you are. This is hugely important to people, so tell us where you are.",June
Cory Booker,"I absolutely will. First of all, we’re talking about this as a healthcare issue, but in communities like mine, low income communities, this is an education issue because kids who don’t have health care are not going to succeed in school. It is an issue for jobs and employment because people who do not have good healthcare, do not succeed at work. It’s even a retirement issue because in my community, African Americans have a lower life expectancy because of poor health care, and so where I stand is very clear.",June
Cory Booker,"Healthcare is not just a human right, it should be an American right, and I believe the best way to get there is Medicare-for-all but I have an urgency about this. When I am president of the United States, I’m not going to wait. We have to do the things immediately that are going to provide better care. And on this debate, I’m sorry. There are too many people profiteering off of the pain of people in America, from pharmaceutical companies to insurers.",June
Cory Booker,"Literally the overhead for insurers that they charge is 15%, while medicare overhead is only at 2%. We can do this better, and every single day I’ll be fighting to give people more access and more affordable cost until we get to my goal, which is every American having health care.",June
Lester Holt,"Your time is up Senator. I want to move back if I can, to congresswoman Gabbard.",June
Elizabeth W.,", and that is that the insurance companies last year alone, suck $23 billion in profits out of the healthcare system, $23 billion, and that doesn’t count the money that was paid to executives, the money that was spent lobbying Washington. We have a giant industry that wants our healthcare system to stay the way it is because it’s not working for families, but it’s sure as heck working for them. It’s time for us to make families come first.",June
Lester Holt,Governor Inslee.,June
Jay Inslee,"It should not be an option in United States of America for any insurance company to deny women coverage for their exercise of their right of choice. And I am the only candidate here who has passed a law protecting a woman’s right of reproductive health and health insurance, and I’m the only candidate who has passed a public option. I respect everybody’s goals and plans here, but we do have one candidate that has actually advanced the ball, and we got to have access for everyone. I’ve done it  –",June
Lester Holt,Your time is up Governor Inslee.  –,June
Lester Holt,"I’m fascinated by this, Senator Klobuchar.",June
Amy Klobuchar,"I just wanted to say there’s three women up here that have fought pretty hard for woman’s right to choose, I’ll start with that. And then I just want to make very clear, I think we share the goal of universal health care, and the idea I put out there, the public option, which the governor was just talking about, this idea is that you use medicare or medicaid without any insurance companies involved, you could do it either way. And the estimates are, 13 million people would see a reduction in their premiums, 12 more million people would get covered. So I think it is a beginning in the way you start and the way you move to universal healthcare.",June
Lester Holt,"Senator Castro, this one is for you. All of you on stage support a woman’s right to an abortion, you all support some version of a government healthcare option. Would your plan cover abortion Mr. Secretary?",June
Julián Castro,"Oh yes, it would. I don’t believe only in reproductive freedom, I believe in reproductive justice. What that means is, that just because a woman or… let’s also not forget someone in the trans community, a trans female, is poor, doesn’t mean they shouldn’t have the right to exercise that right to choose. And so I absolutely would cover the right to have an abortion. More than that, everybody in this crowd and watching at home knows that in our country today, a person’s right to choose is under assault in places like Missouri, in Alabama, in Georgia, I would appoint judges to the federal bench that understand the precedent of Roe v. Wade, and will respect it. And in addition to that, make sure that we fight hard as we transition our health care system to one where everybody can get and exercise that right.",June
Lester Holt,"Senator Warren, would you put any limits on abortion?",June
Elizabeth W.,"I would make certain that every woman has access to the full range of reproductive health care services and that includes birth control, it includes abortion, it includes everything for a woman. And I want to add on that, it’s not enough for us to expect the courts to protect us. 47 years ago, Roe versus Wade was decided, and we’ve all looked to the courts all that time, as state after state has undermined Roe, has put in exceptions, has come right up to the edge of taking away protection.",June
Lester Holt,Your time is up Senator.,June
Elizabeth W.,We now have an America where most people support Roe versus Wade. We need to make that a federal law.,June
Lester Holt,Thank you. Jose.,June
Jose,"Lester, thank you.",June
Jose,"Senator Booker, I want to kind of come back on a discussion we were having about health and the opioid crisis. You represent a state where 14 of the 20 largest pharmaceutical companies are based. Should the pharmaceutical companies that manufacture these drugs be held criminally liable for what they do?",June
Cory Booker,"They should absolutely be held criminally liable because they are liable and responsible. This is one of the reasons why, well, before I was running for president, I said I would not take contributions from pharma companies, not take contributions from corporate packs, or pharma executives, because they are part of this problem.",June
Cory Booker,"This opioid addiction in our country, we in cities like mine have been seeing how we’ve tried to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that.",June
Jose,"Congressman O’Rourke, how would you deal with it?",June
Beto O’Rourke,"Tonight in this country, you have 2.3 million of our fellow Americans behind bars. It’s the largest prison population on the face of the planet. Many are there for nonviolent drug crimes, including possession of marijuana at a time that more than half the states have legalized it or decriminalized it, and yet, despite what Purdue Pharma has done, their connection to the opioid crisis and the overdose deaths that we’re seeing throughout this country, they’ve been able to act with complete impunity and pay no consequences, not a single night in jail.",June
Beto O’Rourke,"Unless there’s accountability and justice, this crisis will continue. In my administration, we will hold them to account, we’ll make sure that they pay a price, and we will help those who’ve been victims of this malfeasance in this country get them treatment and long-term care.",June
Lester Holt,"I know immigration is a lot in your minds here, and I want to talk about it. We’re going to talk about in a moment. We need to take a break. We’ll be back with more from Miami after this.",June
Lester Holt,***Good evening everyone breaking news tonight  –,June
Speaker 14,Lester Holt.,June
Lester Holt,Reporting from here on the ground. We begin tonight with  –,June
Speaker 14,In the story.,June
Lester Holt,"It sounds like a jet airplane up there, but that is fire.",June
Speaker 14,Asking the questions you would ask.,June
Lester Holt,What’s it like flying into the hurricane zones?,June
Speaker 15,I’ve never seen anything like it.,June
Speaker 14,Giving the context you need.,June
Lester Holt,Let’s talk about the Max. How do you convince some skittish passenger to get on this airplane?,June
Speaker 14,Lester Holt.,June
Lester Holt,We’ve met a lot of great people doing a lot of great things  –,June
Speaker 14,The most trusted TV news anchor in America.,June
Lester Holt,That’s Nightly News. I’m Lester Holt.,June
Speaker 16,A very busy news day.,June
Speaker 17,There’s high-stakes confrontation  –,June
Speaker 18,That’s live to the border where our colleagues  –,June
Speaker 19,Exclusive video you’ll only see  –,June
Speaker 20,The country’s top intelligence officials testify  –,June
Speaker 16,NBC News gets an exclusive look inside  –,June
Speaker 21,Live here at the nations capital  –,June
Female,There’s now an open investigation  –,June
Speaker 23,Blockbuster new reporting today on  –,June
Male,This is the deadliest school shooting.,June
Male,The Supreme Court upheld the revised version of  –,June
Male,This new report comes amid a staggering amount of news  –,June
Male,Breaking news tonight exclusively here.,June
Female,NBC News was first out with this scoop today  –,June
Male,It’s been an extraordinary night watching  –,June
Speaker 14,"So, a lot to talk about.",June
Male,"Tomorrow, the first real test of the 2020 presidential race continues, with night two of the democratic candidates debate, Biden, Sanders, Buttigieg, Harris, battle it out with six others. Who will make the most of the moment? The first democratic debate moderated by Lester Holt, Savannah Guthrie, Jose Diaz-Balart, Chuck Todd, and Rachel Maddow. Tomorrow at nine eastern on NBC, MSNBC and Telemundo.",June
Jose,"I want to turn to an issue that has been in the news, especially this week. There are undocumented children being held alone in detention. Even as close as Homestead, Florida, right here less than 30 miles from where we are tonight, fathers and mothers and children are dying while trying to enter the United States of America.",June
Jose,"We saw that image today, it broke our hearts, and they had names. All scattered, Martinez and his 23 month old daughter Valeria died trying to cross the river to ask for asylum in this country. Last month, more than 130,000 migrants were apprehended to the southern border.",June
Jose,"Secretary Castro, if you were president today, what would you specifically do?",June
Julián Castro,"Thank you very much, Jose. I’m very proud that in April I became the first candidate to put forward a comprehensive immigration plan and we saw those images. Watching that image of Oscar and his daughter, Valeria, is heartbreaking, it should also piss us all off.",June
Audience,Yeah.,June
Julián Castro,"If I were president today… It should spur us to action, if I were president today, I would sign an executive order that would get rid of Trump’s zero tolerance policy, the remain in Mexico policy, and the metering policy. This metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river. They had been playing games with people who were coming and trying to seek asylum at our ports of entry.",June
Julián Castro,"Oscar and Valeria went to a port of entry, and then they were denied the ability to make an asylum claim, so they got frustrated and they tried to cross the river and they died because of that.",June
Jose,"On day one, sorry.  –",June
Julián Castro,"On day one, I would do that executive order that would address metering and then I would follow that up in my first a 100 days with immigration reform that would honor asylum claims, that would put undocumented immigrants as long as they haven’t committed a serious crime on a pathway to citizenship, and then we’d go to the root cause of the issue, which is we need a Marshall Plan for Honduras, and Guatemala, and El Salvador, so that people can find safety and opportunity at home instead of coming to the United States to seek it.",June
Jose,"Senator Booker, what would you do on day one? And this is a situation that the next president will inherit.",June
Cory Booker,Yes. .,June
Cory Booker,"On day one, I will make sure that, number one we end the ICE policies and the customs and border policies are violating the human rights. When people come to this country, they do not leave their human rights at the border. Number two, I will make sure that we reinstate DACA, that we reinstate pathways to citizenship for DACA recipients and to make sure that people that are here on temporary protected status can stay and remain here. And then finally, we need to make sure that we address the issues that made Oscar and Valeria come in the first place, by making major investments in the northern triangle not like this president is doing, by ripping away the resources we need to actually solve this problem. We cannot surrender our values and think that we’re going to get border security, we actually will lose security and our values. We must fight for both.",June
Julián Castro,", if I may add very briefly, and this is an important point, my plan… and I’m glad to see that Senator Booker, Senator Warren and governor Inslee agree with me on this, my plan also includes getting rid of section 1325 of the Immigration and Nationality Act. To go back to the way we used to treat this, when somebody comes across the border not to criminalize desperation, to treat that as a civil violation, and here’s why it’s important. We see all of this horrendous family separation, they use that law section 1325 to justify under the law separating little children from their families, and so I want to challenge every single candidate on this stage to support the repeal of section 1325.",June
Cory Booker,". As my friend here said, I agree with that one issue, but folks should understand that the separation of children from families doesn’t just go on at our border, it happens in our communities, as ICE are ripping away parents from their American children, spouses, and the like, and are creating fear in cities all across this country where parents are afraid to even drop their kids off to school or go to work.",June
Cory Booker,We must end those policies as well.,June
Bill De Blasio,discussion about immigration  –,June
Jose,Mayor?,June
Bill De Blasio,"This country, because look at the bottom line here, those tragic, that tragic photo of those, that parent, that child, and I’m saying this as a father, every American should feel that in their heart. Every American should say that is not America, those are not our values, but we have to get under the skin of why we have this crisis in our system because we’re not being honest about the division that’s been fomented in this country. The way that American citizens have been told that immigrants somehow created their misery and their pain and their challenges, for all the American citizens out there who feel you’re falling behind or feel the American dream is not working for you, the immigrants didn’t do that to you, the big corporations did that to you, the 1% did that to you.",June
Bill De Blasio,"We need to be the party of working people, and that includes a party of immigrants, but first we have to tell working people in America who are hurting, that we’re going to be on their side every single time against those big corporations who created this mess to begin with and remind people we’re all in this together. If we don’t change that debate, that politics that’s holding us back, we won’t get all these reforms people are talking about. That’s what we need to do as Democrats.",June
Jose,"Thank you. . What would you do, Congressman, day one at the White House?",June
Beto O’Rourke,". We would not turn back Valeria and her father Oscar, we would accept them into this country and follow our own asylum laws. We would not build walls, we would not put kids in cages. In fact, we would spare no expense to reunite the families that have been separated already,  –",June
Jose,"Secretary, let him finish, and I will give you… But let him finish. Let him finish.",June
Beto O’Rourke,"Yes, we would not detain any family fleeing violence. In fact, fleeing the deadliest countries on the face of the planet today, we would implement a family case management program so they could be cared for in the community at a fraction of the cost, and then we would rewrite our immigration laws in our own image. Free dreamers forever from any fear of deportation by making them US citizens here in this country. Invest in solutions in Central America, work with regional stakeholders, so there’s no reason to make that 2000 mile journey to this country.",June
Jose,"Secretary, I’ll give you 30 seconds.",June
Julián Castro,"Let’s be very clear. The reason that they’re separating these little children from their families is that they’re using section 1325 of that act, which criminalizes coming across the border to incarcerate the parents and then separate them. Some of us on this stage have called to end that section to terminate it, some like congressman O’Rourke have not, and I want to challenge all of the candidates to do that .",June
Julián Castro,"I just think it’s a mistake, I think it’s a mistake, and I think that if you truly want to change the system, then we got to repeal that section. If not, then it might as well be the same policy.",June
Jose,Thank you.,June
Beto O’Rourke,"Let me respond to this very briefly. Actually as a member of Congress, I’d help to introduce legislation that would ensure that we don’t criminalize those who are seeking asylum and refuge in this country. If you’re fleeing desperation, then I want to make sure that you’re treated with respect.",June
Julián Castro,I’m still talking about everybody else.,June
