name,speech
Donald Trump,"We got this tremendous number of women, and during the election night, they say, “What’s going on?” you know it’s called suppression polls. Suppression. Polls are just as fake as the news itself, but women filled 60%, and I’m sorry to tell you this, men, they’re going to sue me for discrimination now. Women fill 60% of all of the new jobs created last year. Women took 60%, what’s wrong with you, men? What’s wrong with you? But the radical Democrats are trying to destroy all of our country’s tremendous achievement, and our country’s tremendous success. Unprecedented."
Donald Trump,"We’ve had unprecedented success. Leaders come in from other countries, prime ministers, presidents, kings, queens, dictators. Sometimes, I hate to say it, dictators, and they all start off by saying, “Mr. President, I’d like to congratulate you on the incredible economy that you’ve created. The greatest anywhere in the world by far.” And sadly, China who I have a very good relationship with President Xi, I really like him. But China has had… yesterday it was announced, the worst year in 27 years."
Donald Trump,"We’ve had the best, and if our opponent ever got into office, instead of being up, 62% instead of those 401ks of yours being up 60, 70, 80, 90%, crash, big crash. You would have had a crash, the likes of which we have never seen before, if they got in office. Because we freed up our country, we freed up our economy especially with regulation cuts, but also with those big beautiful tax cuts. We freed it up."
Donald Trump,"The leading voices of the Democrat Party are left wing extremists, who reject everything our nation stands for. But again, I have to tell you, this vote was so big. I have to thank many of the Democrats. I mean, that was amazing. No, no, I really do. I respect it. I really do. That was a slaughter, but many of those people that voted for us this afternoon in somewhat of a sneak attack, a real sneak attack, many of those people that voted for us were Democrats, and I want to thank them, because they did the right thing for our country."
Donald Trump,"Republicans know that America is the greatest force for peace and justice in the history of our world. But these left-wing ideologues see our nation as a force of evil. The way they speak, so badly of our country. They want to demolish our constitution, weaken our military, eliminate the values that built this magnificent country. You have to look at some of their recent comments which are never talked about. When you see the four Congress women."
Donald Trump,"Oh, isn’t that lovely? I’ll give you just a couple, I’ve had pages and pages, but we don’t want to bore you. We don’t want to go too long. But we have to give a couple, because that’s the great thing about live television. They can’t cut it. Representative Ilhan Omar, of a really great state, I almost won the first time in decades and decades, Minnesota. Greg Stanton."
Audience,"USA, USA, USA, USA, USA, USA, USA, USA, USA, USA."
Donald Trump,"By the way, I keep hearing how much enthusiasm is in the radical left. I don’t think they have enthusiasm. They’re just fighting with each other. We have all of the enthusiasm. He goes home now to mommy, and he gets reprimanded, and that’s the end. Sorry mommy. Sorry mom. Didn’t mean to embarrass your mom. But it’s true, we have the enthusiasm folks. Look at this. Look at this. And by the way, thousands and thousands of people outside and people that couldn’t get in, thousand. We’ve got all the enthusiasm. They’re fighting each other. They’ve gone so far left, nobody wants to even think about it."
Donald Trump,"So representative Omar, blames the United States, for the terrorist attacks on our country, saying that terrorism is a reaction to our involvement in other people’s affairs. She smeared US Service members involved in Black Hawk Down. In other words, she slandered the brave Americans who were trying to keep peace in Somalia. Omar minimized the September 11th attacks on our homeland, saying some people did something. I don’t think so. Some people did something. Yeah, some people did something. All right. She pleaded for compassion for Isis recruits attempting to join the terrorist organization."
Donald Trump,"She was looking for compassion. Omar laughed that Americans speak of Al-Qaeda in a menacing tone and remark that, you don’t say America with this intensity. You say, Al-Qaeda makes you proud. Al-Qaeda makes you proud. You don’t speak that way about America. And at a press conference just this week when asked whether she supported Al-Qaeda, that’s our enemy. That’s our enemy. They are a very serious problem that we take care of, but they always seem to come along somewhere. She refused to answer. She didn’t want to give an answer to that question. Omar blamed the United States for the crisis in Venezuela."
Donald Trump,"I mean think of that one, and she looks down with contempt on the hardworking American, saying that ignorance is pervasive in many parts of this country. And obviously and importantly, Omar has a history of launching vicious antisemitic screens."
Audience,Send her back! Send her back! Send her back! Send her back! Send her back! Send her back! Send her back! Send her back! Send her back! Send her back! Send her back! Send her back!
Donald Trump,"When she talked about the evil Israel, and it’s all about the benjamins. Not a good thing to say. So that’s Omar. That’s Omar. And by the way, many other things, all you have to do is press the right button on your beautiful screen, and you’ll see thing after… You didn’t hear this over the last two days or did you hear anybody talk about this? Her colleague Representative Rashida Tlaib, agreed with Omar’s characterization of 9/11 and said that members of Congress who support Israel forgot, what country they represent."
Donald Trump,"And Tlaib also used the F word to describe the presidency and your president. That’s not nice, even for me. She was describing the President of the United States and the presidency with the big fat vicious, the way she said it, vicious F-word. That’s not somebody that loves our country. Representative Alexandria Ocasio-Cortez. Check out her scores by the way, with her green new deal, the green new deal. Where did that come from? She’s conducted outrageous attacks against men and women of law enforcement, she compared American border agents managing a humanitarian crisis, that I always said was a humanitarian crisis, and they said it was manufactured."
Donald Trump,"They don’t say it was manufactured, and we’re stopping it and I want to thank Mexico. They’ve got 21,000 soldiers now stopping people from coming into our country. But Cortez, somebody said that’s not her name it’s… They said that’s not her name, sir. I said, “No, no, I don’t have time to go with three different names.” We’ll call her Cortez. Too much time. Takes too much time. So Cortez also, she said essentially Nazis are running concentration camps, and when Mike Pence went down just a few days ago with members of Congress and the media, and you looked at those so-called horrible concentration camps, they said, “Wow, these places a clean. Wow. They have air conditioning, they have water.”"
Donald Trump,"And you know, to be honest, it’s not like they came and we want to take care of people. We got to straighten out our immigration laws. You know, in a very short period of time, if the Democrats would give us a few votes, we could solve the immigration problem and it would be so great. It would be so great. But these kids and these people come from rough places. And I’ll tell you what, some of them said, “We’ve never lived like this before.” They have water, they have air conditioning, they have things that they’ve never seen."
Donald Trump,"And we listen to her talking about drinking water from toilets, which was a lie, which was a lie. Cortez said that illegal immigrants are more American than any person who seeks to keep them out ever will be, can you believe that? That’s what she say. She described contemporary America, that’s you, that’s me, that’s all of us, as garbage, garbage, a garbage. Remember deplorables, right? That sounds worse."
Donald Trump,"I think that’s worse, but we’ll save it for whoever’s going to be the nominee, and right now, sleepy Joe’s not looking too good, Pocahontas. Pocahontas is gaining a little bit, because we probably use the Pocahontas a little bit too early, but that’s okay. We’ll bring it out of retirement very soon. They have a new one who knocked the hell out of Biden during the debate? He said, “I wasn’t prepared for that question.” That’s not a good answer. Can you imagine? And according to the polls, I won every single debate Republican and against Hillary. Can you imagine?"
Donald Trump,"Those are the polls. They won’t admit that. Many, many polls. But can you imagine if I said, “Uh-oh, I’m sorry I wasn’t prepared for that question.” I’m gone. That’s the end of Trump. He’s not prepared. He’s not mentally prepared, that’s his problem. But everybody that knows him knows that. But no Harris hit him with the pretty easy question on busing. What I would say that’s pretty easy, and he choked. He choked. And then he said, “Ah, yeah, I’m sorry I ran out of time. I ran out of time” He ran out of time."
Donald Trump,"And then you have a young guy, Buttigieg, Buttigieg. They’re saying how to say his name, Buut-ih-jij. He’s a beauty. He runs a failed city. His city is doing so badly. Mike Pence was the governor of that state. I said, “How was he as the mayor?” Mike is one of the nicest human beings you’ll ever meet. And Mike said, he never did a good job, I’m so shocked to see him running. Okay. And then he goes back home, and African Americans literally were so angry at him for the lousy job and he’s supposed to be like a hot young star, if that’s a hot young star, I guess I just don’t no star anymore. That is not as star."
Donald Trump,"That’s not a star. Buut-ih-jij, you say, Buut, and then add ih-jij, Buttigieg. I don’t see him dealing with President Xi of China. I don’t see him meeting successfully with Kim Jong-un. I don’t see him dealing, and nobody has been tougher with Russia than Donald Trump. I don’t know see him dealing with Vladimir Putin. And we have good relationships with them and many others, except now we’re no longer the suckers. Like with NATO, we protect Europe. We spent hundreds of billions of dollars and they’re not paying their fair share."
Donald Trump,"So last year I went and said, “Folks, sorry, you got to pay your fair share.” 16 years was going like this? The contribution, and now it’s like a rocket ship, $100 billion. I said to him, great people, 28 nations, including the US, I said to him, “Listen, we’re taking care of you. You screw us on trade, and you don’t pay your military bills. This is not a good deal for the United States.” So we’re taking care of trade. We want to do it nice and slow and easy. You know, we got a world balance, but European Union is terrible to us on trade, terrible."
Donald Trump,"Frankly, they’re as tough or tougher than China, just smaller in numbers. That’s the only difference. With China, 507 billion dollars, a you look over the years, for many, many years, they’ve been taken. And guys like Biden say, “Uh-oh, We’d them them.” And he was there eight years, “We’d stop that.” No, Trump is stopping it. Trump is stopping it. Representative Ayanna Pressle. Is she related in any way to Elvis? I don’t know. Who knows? You never know. She thinks that people with the same skin color, all need to think the same."
Donald Trump,"She said, “We don’t need any more brown faces that don’t want to be brown voices. We don’t need black faces, that don’t want to be a black voice.” And here we are. But since we’ve  disrespectful to people that have taken a lot of shots to the face, but they wouldn’t attack some of these people in this room. They’re not attacking bikers for Trump. They’re not  or military. You know they’re attacking a single man standing there with a camera, who never got hit and never hit back before in his life."
Donald Trump,"They’ll attack the people, they attacked. Picture that wouldn’t look too good for the people, these are sick bad people remember that. These are bad people. These are bad people. They don’t get the bad press, the press doesn’t want to talk to them. They are very evil. They’re hitting people over the head with sticks, and I mean sticks. I mean bats even. They’re whacking people with bats. They’re very brave. They always show up with a mask and they’re covered. Because then they go home to mom and dad. They don’t want mom and dad to know where they were, but they always attack people that really can’t defend  that."
Donald Trump,"They’re very brave. They always show up with a mask and they’re covered. Because then they go home to mom and dad. They don’t want mom and dad to know where they were. But they always attract people that really can’t defend themselves very well. Right? They’re attacking this group. They’re not attack North Carolina. That’s for sure. So these Congresswomen, their comments are helping to fuel the rise of a dangerous militant hard left, but that’s so, they are very evil. They’re hitting people over the head with sticks, and I mean sticks. I mean bats even, they’re whacking people with bats. They’re very brave."
Donald Trump,"They always show up with a mask and they’re covered, because then they go home to mom and dad. They don’t want mom and dad to know where they were. But they always attract people that really can’t defend themselves very well. Right? They’re attacking this group. They’re not attack North Carolina. That’s for sure. So these Congresswomen, their comments are helping to fuel the rise of a dangerous militant hard left, but that’s okay, because we’re going to win this election like nobody’s ever seen before."
Donald Trump,"And tonight I have a suggestion for the hate filled extremists, who are constantly trying to tear our country down. They never have anything good to say. That’s why I say, “Hey, if they don’t like it, let them leave. Let them leave. Let them leave. Let them leave.” They’re always telling us how to run it, how to do this, how to the… you know what? if they don’t love it, tell them to leave it. I don’t know. And I’ll watch, I’ll go back to the, “Oh sir, that was so controversial, sir.” No, I’m just saying it’s their choice. They can come back when they want, but you know, they don’t love our country, I think in some cases they hate our country."
Donald Trump,"And it’s so angry, even yesterday they went on the stage. I said, “Let me watch this.” And the anger, they were trying to be nice, but it’s hard. It’s hard for them to do that. That choice for every American has never been more clear. That’s true. The Democrat agenda is anti worker, anti jobs, anti citizen anti-family and anti common sense. With the exception of all of those Democrats that voted for us today, we’ll give them up, okay? They’re fine, they’re fine. They are fine and you’ll lose to them, it’s different. It’s okay. It’s called normal political back and forth."
Donald Trump,"But I want to tell you something, the Democrats are being violent, so vicious, moving so far left, it’s out of control. It’s out of control. The Republican agenda is pro-worker, pro-jobs, pro-family, pro-growth, and 100% pro-American."
Audience,"USA, USA, USA, USA, USA, USA, USA, USA, USA."
Donald Trump,"So we’re thrilled tonight to be joined by several North Carolina Republican leaders. Really great people. They’ve been so helpful to me and they’re doing an incredible job. Lieutenant Governor, Dan Forest, Lieutenant Governor. North Carolina, Treasurer Dale Folwell. Greenville Mayor, PJ Connelly, I hear he does a good job, PJ. And North Carolina GOP Chair, Michael Whatley."
Donald Trump,"I want to also  three months when we needed him most, Senator Tom. Thank you Tom, you really have. You’ve been really good and we got to get out and work and make sure he gets reelected. And also, senators Mark Walker and . And two friends of mine that decide hoax of impeachment, where they could bask in the glory of victory. I said, “Stay back.”  is here right now.  incredible NCAA wrestling champion, great guy. He wanted to stay back."
Donald Trump,"I said, “You sure you don’t want to come?” “I do want to come, but I really want you to win today, if you don’t mind.” I said, “Okay, you better stay back. If I see you here I’m going to be very angry.” And they did their job, didn’t they? This man is from the great state of Ohio, Congressman Jim Jordan. We’re going to do this quickly, but it’s just important that you get out and vote, they’re two great people. I want to introduce the next member of Congress from North Carolina’s third congressional district, just won a great race, Dr. Greg Murphy. Greg is a winner."
Dr. Greg Murphy,"Thank you President Trump for coming back to Eastern, North Carolina. This is Trump country. I promise if elected your congressman, I will be a congressman that has our president’s back. The third district is not going to elect another Pelosi congressman, it is not going to do that. We thank him for coming eastern North Carolina and we are here to support him. Thank you all."
Donald Trump,"So you know Greg would be great on jobs, all the things you want, tough on crime, strong on borders, pushing the wall, he’ll be pushing it like nobody. We’re building the wall but we’re pushing it. It’s like pulling teeth. We’ve got six lawsuits on the wall, we’ve won two of them, we’re going to win others. But you think it’s easy, don’t you folks, you think this is easy? But we’re building a lot of wall and we hope if we can win that final one, it’s so important it’s going before the Supreme Court, we’ll have over 400 miles of wall built by the end of next year."
Donald Trump,"So go out, get Greg elected. Great victory, by the way, that was a great primary and a great victory. That same day there’s another crucial election in North Carolina’s 9th… Right, you know what we’re talking about? 9th, I know it’s not here, but it’s very close, right? 9th Congressional district. The Democrat in the race is an ultra liberal named Dan McCready, he wants to take away your guns, he wants to raise you taxes, he doesn’t care about borders, he likes open borders. And he really admires socialism, I don’t think that works too well in North Carolina."
Donald Trump,"Doesn’t work too well in our country. We’re joined tonight by the Republican candidate who is really a special man, a great man, he’s going to be a great, great Congressman, Dan Bishop. Dan?"
Dan Bishop,"So as President Trump said, there are two Dans in this race. Dan McCready said that Donald Trump is the greatest threat to democracy ever and backed crooked Hillary. Dan McCready took money from Ilhan Omar. And Mr. President, Dan McCready wants to repeal your tax cuts. Now, he would be the wrong Dan. As for me, I’m going to go to Washington, and I’m going to stand with President Donald J. Trump, and that makes me the right Dan. And with the help of President Trump, we’re going to win the 9th district. So go to votedanbishop.com sign up and help. Thank you ladies and gentleman."
Donald Trump,"Thank you, Dan. Thank you Dan. And he will indeed defend your values, your family, and he will always defend our second amendment unlike the opponents. They’re really into destroying our second amendment. Who’ve been violently operating for more than 10 years, we got them all, we think they are no good. With conducting brutal, medieval style killings, you know what medieval style is? Okay. Little pieces, little pieces, little pieces, medieval style, including the dismemberment of their victims, and they enjoyed every minute of it. These are sick people."
Donald Trump,"When I call them animals, Nancy Pelosi said, “How dare he used that name? These are human beings.” I don’t think they’re human beings. Most of those indicted were in our country illegally, 19 to be exact, 19 of 22. Think of that, they want to protect… These are savage beasts, these are savage killers, and they should’ve been brought out a long time ago by the Obama administration. We’re bringing MS-13 out by the thousands, getting them the hell out of our county."
Donald Trump,"And when you read about deportation and Sunday, we’ve got a lot of people on Sunday, but we have a lot of people… and we’re always shooting for the bad ones first. Which makes sense, right, but when you hear about that, we always want to get… And by the way, do you know how dangerous it is for these ICE agents, these ICE and border patrol? But ICE, they go into a nest, they call it a nest, a nest of these killers. They’re tough, they’re smart, and you know what, they’re great patriots, they love our country. The danger that they have is incredible."
Donald Trump,"And I just want to salute… and I have to tell you, I want to salute ICE and border patrol, and I want to support and salute law enforcement in the United States. These are great people. These are great people and they don’t get the credit that they deserve, but you know what? I tell them all the time, you have no idea how much the American people, the American public, you have no idea how much they love you and respect you, law enforcement. In the recent democratic debate, every single candidate, everyone, Biden was a little bit slower with the hand, it didn’t work so well."
Donald Trump,"They raised their hand in favor of giving free government healthcare. They raised their hand in giving a lot of other things that I don’t think you’re going to be happy with, illegal aliens will be very nicely covered. How about California, they just approved a $100 million? They just approved $100 million to take care of the needs of illegal immigrants, and then you look on the sidewalks of Los Angeles, the sidewalks of San Francisco, Nancy Pelosi’s district, nobody’s ever seen anything like it in the history of our country what’s happening there."
Donald Trump,"So if you don’t want Democrats to raid your healthcare, to steal away your money, to bankrupt your country, then you have a choice, you must vote Republican. All American citizens, including millions and millions of legal immigrants who work hard to come into our country, who study, who wait on line sometimes for 10 years, and who respect our laws and follow the rules, they deserve a government that is loyal to them. They work hard. You can’t say you love our country if you want to destroy it through open borders, open borders are a disaster."
Donald Trump,"Human trafficking, the first time I heard as a politician, human trafficking, nobody talks about it, it sounded almost like an ancient crime, many, many years ago, hundreds of years, thousands of years ago, human trafficking, it’s the worst now throughout the world because of the Internet, it’s the worst it’s ever been. And the worst treated of all, children, but it’s women, women, the Democrats want to do nothing about it. Human trafficking is worse than it ever has been in the history of the world, not just… This is not a United States problem, this is all over the world."
Donald Trump,"Human trafficking, it’s a terrible, terrible thing and we got to solve it. Most of it comes through, in this country, our southern border where we don’t have the wall. They’re not going through our points, they’re not going through areas where we have security, where we have guards, where we have gates, where we have all sorts of equipment, no, they ride through the desert and they make a left where you don’t have the wall. It’s so simple, everybody knows it. The Democrats all know it because five years ago before I was here, they all wanted it."
Donald Trump,"Now they don’t want it, you know why they don’t want it? For political reasons, and you know what, it’s going to cost them a lot of points in the election, I think probably cost them the election itself. Just lastly, Democrats also support deadly sanctuary cities which release violent criminal aliens onto our streets. Where we just picked up these 22 thugs, these 22 monsters, we just picked him up in, where, Los Angeles. Sanctuary city, wonderful sanctuary city."
Donald Trump,"Thom Tillis senator recently introduced a bill to give American victims the right to pursue sanctuary cities and hold them accountable for the thousands of lives they have shattered, they’ve shattered these lives. Thank you very much Thom. Every nation has the right to establish and enforce immigration rules in it’s national interest, it’s very simple, isn’t it? It’s common sense, it’s so simple and the voters understand that. We expect that those who seek to join our society will obey our laws, revere our constitution, cherish our history, support themselves financially, and embrace our American values and love our American flag."
Donald Trump,"We believe in an immigration system based on merit, merit, where they come in. We have so many companies coming in, automobile companies, companies of all types, and we need workers. We actually need workers. We have the lowest unemployment rate that we’ve had in 51 years, soon it’ll be the lowest ever. We need workers, but they have to come in where they can help our country. They have to come in based on merit, and we’re putting in bills and let’s see what happens."
Donald Trump,"Otherwise, we’ll just wait til we win back the house, win the Senate, win the Presidency, and we’ll vote. Democrats have never been farther outside of the mainstream. They’re going crazy folks, they’re going crazy. More than 130 Democrats in Congress have signed up for Bernie Sanders total government takeover of healthcare, isn’t that nice? This is one of the great… It won’t happen, he knows that. The guy never passed the bill, he did nothing."
Donald Trump,"He’s actually not even a Democrat, isn’t he an independent? I don’t know, he’s running but… He missed his time. Hey Bernie, let me save you a lot of time and effort, Bernie, you missed your time. It got taken from you four years ago, Bernie. Not doing too well. He’s not doing too well, but that’s okay. I got to hand it to him he’s up there ranting and raving and going like a lunatic. I said to our first lady the other day, I was watching Bernie and he’s screaming, his hair’s all crazy, I’m going to do this, I’m going to do that, no more college loans, no more cost for anything."
Donald Trump,"Nothing, you’re not going to pay for anything. He’s desperate now, he’s desperate. You don’t have to pay for anything. I joke, I said, “And everybody will get a free Rolls-Royce, every family gets a free Rolls-Royce, every family. And the media said, “Donald Trump is exaggerating. He knows that they’re not getting a Rolls-Royce.” I’m sorry, don’t put it. Don’t put that I said Free Rolls Royce. But Bernie’s desperate now, I watch him up there it’s a sad situation. But I think they’re all sad when you get right down to it."
Donald Trump,"For instance, we’re in this incredible state North Carolina, that you have your best economy that you’ve ever had. Forget the country for a second, you have the best economy you’ve ever had, you have your best unemployment numbers, you had the most people working than at any time in the history of your state, you have your best black unemployment numbers, best Hispanic unemployment numbers, best women unemployment numbers, best Asian unemployment numbers. Whoever the opponent is, what are they going to do is just say, “North Carolina, I’m going to do a great job."
Donald Trump,"You have the best numbers in the history of our country in your state, so I don’t know, and we won by a lot. And we won by a lot I was telling Mike, I was telling my son Eric Trump and Lara’s here, y the way, who was born in North Carolina. They do a good job. Lara, do you love this state? And her brother’s here, I have to tell you, he went to this college. And Brad Parscale is here, the worlds tallest campaign manager in the history of the world. He’s the tallest in the history, but most importantly, he’s the best. The worlds tallest manager but he’s the best manager."
Donald Trump,"Thank you, Brad. Great job. And he just told me our poll numbers are through the roof, he just told me that so I’ll take that. We are a year and a half away, but we’re doing well, you see it. You’d know, you’d be the first to know. Number one, you wouldn’t be here, you wouldn’t be here. We haven’t had an empty seat in any event, I don’t believe, that we’ve ever been to, I don’t think we’ve ever had… we always have people, we haven’t had an empty seat. You look anywhere, North Carolina, Ohio, no matter where we go we pack it and we have thousands and thousands of people, we put screens outside."
Donald Trump,"I know tonight’s not so good, we got a hundred degrees out, but you still have thousands of people out there. We could have sold this arena out, you know that. We could have sold this arena out tonight 10 times, can you believe that? 10 times. I think that’s like a poll, that’s like a poll because when Biden goes out I see Sleepy Joe and he says, “They had 115 people show up, 115 people. That’s our first row.” The democratic record on healthcare is one of deception and destruction, the last administration said a lie."
Donald Trump,"If you like your plan, you can keep your plan, if you like your doctor, you can keep your doctor, 28 times, a total lie. My administration is defending your sacred right to choose the doctor and the plan that you want, and we are offering plans up to 60% cheaper than Obamacare, and a lot of people are starting to figure that out. Better healthcare. And we’ll also always protect… You have to remember this, you ready, because they give us a bum rap. Patients with preexisting conditions are protected by Republicans much more so than protected by Democrats who will never be able to pull it off."
Donald Trump,"Preexisting conditions, and you know, the job we’ve done on healthcare, it’s not talked about, but we’re also doing something. It’s been phenomenal, we have 180 million people right now really happy on private plans, and you know what, they’re going to be taken away. Under the Democrats plan all of those people that are thrilled where they went out and negotiated cross state lines, all of the things they did, they went out, negotiated great private plans, it’s all going to be taken away from you under this plan. Now, I only hope they don’t change because we’re talking too soon, we got a year and a half left."
Donald Trump,"It’s like when I called Pocahontas, Pocahontas, I should’ve waited six months because she then went out and got that test. 1024th, and I’ve always said I have more Indian blood in me than she has in her, and I have none. I have none, but it’s more than she has, 1024. I brought it up too soon so I don’t talk about it anymore, but if she should be the candidate, which I tend to doubt, but if she should be we’ll bring it up again and I think it will be very successful. 1024, how about this, I was driving her crazy, so she went out and hired a guy to check the blood."
Donald Trump,"I’m sure he had a lot of fun doing that. He checked her blood and found out that many, many, many, many, many, many years ago, there could have been somebody and he could have been Indian. And then the Indians got together and they said, “We don’t want her.” We want Trump, we want Trump, they want Trump. We’ve taken historic action to fight the opioid epidemic, what a problem, and just today it was just announced before I came in, that drug overdose deaths… we’re working so hard on this, including our vice president, including our first lady, including everybody in the Trump administration, it’s dropped for the first time in more than 30 years, it’s gone down. First time, it was a big problem."
Donald Trump,"And in North Carolina and we’re far from finished, it’s a big problem, it declined 8% last year. That’s a lot because it was just going up like a rocket. Virtually every top Democrat also now supports late term abortion, ripping babies straight from the mother’s womb right up until the moment of birth. Well then you have the gentleman from… our governor from Virginia, so we’re talking about late term, he’s talking about the baby is born before the mother makes the decision. That’s the first I’ve heard of it, that’s the first most of you have heard of it, and then they pass legislation in various states saying that’s okay."
Donald Trump,"This is a baby that’s born, this isn’t late term. This is a baby that’s born. Nobody’s ever heard anything like that, nobody’s ever seen anything like it. Nobody’s ever seen anything like it. And that actually, when he had the scandal, that became, can you believe it? The second biggest story. Can you believe that, how important it is and yet that was the second biggest story, and what a shame when that’s the second biggest story. What happened to our values? Republicans believe that every life is a sacred gift of God. That’s why I’ve asked Congress to prohibit extreme late term abortion of babies."
Donald Trump,"Democrats are now the party of high taxes, high crime, open borders, late term abortion intolerance and division. The Republican Party is the party for all Americans and American values. We are the party of the American worker, the American family, and we are the party of the American dream. This is the proud banner the Republican Party will carry into the Republican National Convention next summer in the great city of Charlotte, North Carolina. Don’t disappoint me, that should be good for at least 10 points, right? These are some of the greatest ladies, I see them in Ohio, and Florida."
